timestamp,rank,method_id,method_name,status,priority,score,decision,expected_monthly_usd,rev_signal,potential_signal,synergy_signal,exploration_bonus,notes
2026-02-18 11:30:54,40,MM008,UGC_ARBITRAGE,Planning,Phase2,55.86,MAINTAIN,3000,0.0,69.54,16.0,10.39,Eastern EU Latam sourcing
2026-02-18 11:30:54,41,CF004,MEME_CHANNELS,New,Phase2,55.76,MAINTAIN,1100,0.0,60.83,16.0,12.73,Entertainment memes
2026-02-18 11:30:54,42,CF005,WOMEN_APPRECIATION,New,Phase2,55.67,MAINTAIN,1600,0.0,64.08,15.0,12.73,Lifestyle fan pages
2026-02-18 11:30:54,43,CF008,FINANCE_NEWS,New,Phase3,54.99,MAINTAIN,2750,0.0,68.79,17.0,12.73,Money crypto news
2026-02-18 11:30:54,44,MM003,AFFILIATE_SITES,Planning,Phase3,54.99,MAINTAIN,2750,0.0,68.79,17.0,12.73,SEO content sites
2026-02-18 11:30:54,45,AI007,GAMING_PERSONAS,New,Phase3,54.9,MAINTAIN,2650,0.0,68.46,17.0,12.73,Gaming esports
2026-02-18 11:30:54,46,CF010,SPORTS_HIGHLIGHTS,New,Phase3,53.99,MAINTAIN,2750,0.0,68.79,16.0,12.73,Sports clips
2026-02-18 11:30:54,47,CF012,STOCK_RESEARCH,New,Phase3,53.99,MAINTAIN,2750,0.0,68.79,16.0,12.73,Stock analysis content
2026-02-18 11:30:54,48,AI006,LIFESTYLE_CURATORS,New,Phase3,53.9,MAINTAIN,2650,0.0,68.46,16.0,12.73,Aesthetic travel
2026-02-18 11:30:54,49,CF009,TECH_EXPLAINERS,New,Phase3,53.75,MAINTAIN,1650,0.0,64.35,17.0,12.73,Tech AI content
2026-02-18 11:30:54,50,MM011,ROBLOX_GAMES,New,Phase4,53.47,MAINTAIN,5050,0.0,74.07,14.0,12.73,Roblox experiences
2026-02-18 11:30:54,51,AI002,FINDOM,New,Phase4,53.19,MAINTAIN,10250,0.0,80.21,12.0,12.73,Financial domination
2026-02-18 11:30:54,52,MM030,COURSE_CREATOR,$50-200,ACTIVE,36.0,BACKLOG,0,0.0,0.0,18.0,18.0,
2026-02-18 11:30:54,53,MM031,COMMUNITY_PAID,$0-100,ACTIVE,35.0,BACKLOG,0,0.0,0.0,17.0,18.0,
2026-02-18 11:30:54,54,MM032,NEWSLETTER_PREMIUM,$0-50,ACTIVE,35.0,BACKLOG,0,0.0,0.0,17.0,18.0,
2026-02-18 11:30:54,55,MM035,YOUTUBE_AUTOMATION,$200-500,ACTIVE,35.0,BACKLOG,0,0.0,0.0,17.0,18.0,
2026-02-18 11:30:54,56,MM023,ECOM_ARB,$50-200,ACTIVE,34.0,BACKLOG,0,0.0,0.0,16.0,18.0,
2026-02-18 11:30:54,57,MM025,DIGITAL_PRODUCTS,$0-50,ACTIVE,34.0,BACKLOG,0,0.0,0.0,16.0,18.0,
2026-02-18 11:30:54,58,MM029,LOCAL_LEAD_GEN,$100-300,ACTIVE,34.0,BACKLOG,0,0.0,0.0,16.0,18.0,
2026-02-18 11:30:54,59,MM037,TIKTOK_CREATIVITY,$0,ACTIVE,34.0,BACKLOG,0,0.0,0.0,16.0,18.0,
2026-02-18 11:30:54,60,MM039,FACELESS_YOUTUBE,$100-300,ACTIVE,34.0,BACKLOG,0,0.0,0.0,16.0,18.0,
2026-02-18 11:30:54,61,MM022,ECOM_DROPSHIP,$100-500,ACTIVE,33.0,BACKLOG,0,0.0,0.0,15.0,18.0,
2026-02-18 11:30:54,62,MM027,AI_WRAPPER,$50-200,ACTIVE,33.0,BACKLOG,0,0.0,0.0,15.0,18.0,
2026-02-18 11:30:54,63,MM028,MICRO_SAAS,$100-500,ACTIVE,33.0,BACKLOG,0,0.0,0.0,15.0,18.0,
2026-02-18 11:30:54,64,MM036,ETSY_DIGITAL,$0-50,ACTIVE,33.0,BACKLOG,0,0.0,0.0,15.0,18.0,
2026-02-18 11:30:54,65,MM040,TWITTER_MONETIZATION,$0,ACTIVE,33.0,BACKLOG,0,0.0,0.0,15.0,18.0,
2026-02-18 11:30:54,66,MM024,PRINT_ON_DEMAND,$0-100,ACTIVE,32.0,BACKLOG,0,0.0,0.0,14.0,18.0,
2026-02-18 11:30:54,67,MM033,WHITE_LABEL,$100-500,ACTIVE,32.0,BACKLOG,0,0.0,0.0,14.0,18.0,
2026-02-18 11:30:54,68,MM038,PINTEREST_AFFILIATE,$0-50,ACTIVE,32.0,BACKLOG,0,0.0,0.0,14.0,18.0,
2026-02-18 11:30:54,69,MM026,AMAZON_KDP,$0-100,ACTIVE,31.0,BACKLOG,0,0.0,0.0,13.0,18.0,
2026-02-18 11:30:54,70,MM034,MEMECOIN_TRADING,$100-1000,HIGH_RISK,30.0,BACKLOG,0,0.0,0.0,12.0,18.0,
